No-change_LCMS	No-change_Pho	Down_Pho	Up_Pho
CNAG_00743	CNAG_01852	CNAG_06545	CNAG_05276
CNAG_05301	CNAG_06113	CNAG_05000	CNAG_06699
CNAG_07914	CNAG_04049	CNAG_01735	CNAG_06826
CNAG_00700	CNAG_01711	CNAG_05845	CNAG_02801
CNAG_05900	CNAG_03502	CNAG_01169	CNAG_05404
CNAG_06432	CNAG_03438	CNAG_00570	CNAG_03670
CNAG_06088	CNAG_02237	CNAG_06552	CNAG_01938
CNAG_04803	CNAG_00539	CNAG_01845	CNAG_00829
CNAG_04441	CNAG_01885	CNAG_02507	CNAG_02989
CNAG_00992	CNAG_07846	CNAG_00719	CNAG_03308
CNAG_06489	CNAG_06353	CNAG_03168	CNAG_06400
CNAG_02585	CNAG_04213	CNAG_02974	CNAG_04127
CNAG_04327	CNAG_00142	CNAG_02041	CNAG_03682
CNAG_04215	CNAG_01023	CNAG_01523	CNAG_03072
CNAG_05753	CNAG_04503	CNAG_03577	CNAG_03109
CNAG_01981	CNAG_02070	CNAG_01924	CNAG_03008
CNAG_01655	CNAG_06185	CNAG_04444	CNAG_05419
CNAG_03787	CNAG_00641	CNAG_01212	CNAG_03161
CNAG_03007	CNAG_07517	CNAG_07382	CNAG_03815
CNAG_00072	CNAG_03479	CNAG_02751	CNAG_02359
CNAG_02326	CNAG_00777	CNAG_02502	CNAG_06242
CNAG_01539	CNAG_05050	CNAG_01919	CNAG_03603
CNAG_01840	CNAG_02393	CNAG_01376	CNAG_07512
CNAG_04192	CNAG_06666	CNAG_02332	CNAG_03884
CNAG_04179	CNAG_04010	CNAG_02666	CNAG_01428
CNAG_00565	CNAG_05599	CNAG_06450	CNAG_04150
CNAG_05725	CNAG_01149	CNAG_07769	CNAG_01576
CNAG_05602	CNAG_07967	CNAG_01983	CNAG_06165
CNAG_05425	CNAG_00558	CNAG_02209	CNAG_00785
CNAG_02545	CNAG_00072	CNAG_04821	CNAG_04253
CNAG_05235	CNAG_00556	CNAG_05590	CNAG_01614
CNAG_01404	CNAG_03463	CNAG_01477	CNAG_05132
CNAG_05258	CNAG_04584	CNAG_01644	CNAG_02153
CNAG_05480	CNAG_00368	CNAG_01864	CNAG_00078
CNAG_02500	CNAG_04364	CNAG_04224	CNAG_01531
CNAG_01435	CNAG_07539	CNAG_02453	CNAG_01457
CNAG_02918	CNAG_05063	CNAG_03248	CNAG_05975
CNAG_03641	CNAG_03872	CNAG_01400	CNAG_03121
CNAG_03983	CNAG_03775	CNAG_01164	CNAG_03892
CNAG_02710	CNAG_03049	CNAG_02748	CNAG_06627
CNAG_02943	CNAG_04040	CNAG_00130	CNAG_07334
CNAG_01984	CNAG_04984	CNAG_04197	CNAG_04721
CNAG_05059	CNAG_02280	CNAG_00043	CNAG_07415
CNAG_01544	CNAG_01817	CNAG_02817	CNAG_05749
CNAG_03742	CNAG_07886	CNAG_01179	CNAG_06412
CNAG_02030	CNAG_05848	CNAG_04686	CNAG_04118
CNAG_05109	CNAG_04499	CNAG_00249	CNAG_02220
CNAG_06026	CNAG_03203	CNAG_05353	CNAG_04069
CNAG_05650	CNAG_05251	CNAG_01418	CNAG_03303
CNAG_05638	CNAG_00294	CNAG_06661	CNAG_02182
CNAG_03322	CNAG_04954	CNAG_05243	CNAG_06447
CNAG_00447	CNAG_00342	CNAG_01896	CNAG_00547
CNAG_02230	CNAG_05896	CNAG_05196	CNAG_06122
CNAG_07851	CNAG_06182	CNAG_03768	CNAG_05431
CNAG_02880	CNAG_02086	CNAG_06550	CNAG_04445
CNAG_00100	CNAG_07941	CNAG_01253	CNAG_01087
CNAG_04737	CNAG_02139	CNAG_04053	CNAG_05141
CNAG_05496	CNAG_03325	CNAG_01809	CNAG_04121
CNAG_05179	CNAG_06404	CNAG_03905	CNAG_02555
CNAG_04676	CNAG_06193	CNAG_03667	CNAG_02760
CNAG_03920	CNAG_01709	CNAG_07478	CNAG_05683
CNAG_02315	CNAG_02698	CNAG_05255	CNAG_04114
CNAG_00797	CNAG_07532	CNAG_04530	CNAG_00750
CNAG_06075	CNAG_04864	CNAG_00299	CNAG_00928
CNAG_03577	CNAG_01148	CNAG_06824	CNAG_03484
CNAG_00995	CNAG_06683	CNAG_02788	CNAG_00246
CNAG_00139	CNAG_01125	CNAG_00680	CNAG_03621
CNAG_07863	CNAG_04376	CNAG_02790	CNAG_05005
CNAG_01287	CNAG_01863	CNAG_02194	CNAG_05513
CNAG_02903	CNAG_04079	CNAG_02009	CNAG_04305
CNAG_02896	CNAG_03565	CNAG_04790	CNAG_01051
CNAG_00457	CNAG_07469	CNAG_03434	CNAG_02891
CNAG_00238	CNAG_06896	CNAG_04913	CNAG_06363
CNAG_03168	CNAG_04205	CNAG_01158	CNAG_01157
CNAG_01339	CNAG_05199	CNAG_04200	CNAG_03024
CNAG_07745	CNAG_06740	CNAG_05558
CNAG_02079	CNAG_06837	CNAG_01961
CNAG_01657	CNAG_05437	CNAG_03817
CNAG_01682	CNAG_02180	CNAG_02039
CNAG_00988	CNAG_04265	CNAG_04041
CNAG_01568	CNAG_01704	CNAG_02936
CNAG_02948	CNAG_01574	CNAG_01362
