gene_id	LFC
CNAG_06863	1.04E+00
CNAG_03881	-5.80E-01
CNAG_06949	-4.02E-01
CNAG_07806	4.45E-01
CNAG_04953	-8.50E-01
CNAG_00501	4.29E-01
CNAG_06485	3.13E-01
CNAG_04973	-2.66E-01
CNAG_12265	2.06E+00
CNAG_04441	-4.38E-01
CNAG_07464	2.12E-01
CNAG_00592	4.08E-01
CNAG_12892	-1.27E+00
CNAG_01170	-4.38E-01
CNAG_02958	-8.43E-01
CNAG_10075	4.06E+00
CNAG_04332	-6.29E-01
CNAG_04642	6.16E-01
CNAG_00580	-3.57E-01
CNAG_06185	-4.49E-01
CNAG_06968	-7.79E-01
CNAG_00007	-3.91E-01
CNAG_07551	-5.93E-01
CNAG_12679	-8.43E-01
CNAG_00323	6.90E-01
CNAG_04932	3.71E-01
CNAG_05312	4.02E-01
CNAG_00820	-4.84E-01
CNAG_07405	-3.66E-01
CNAG_07670	9.72E-01
CNAG_07511	-3.48E-01
CNAG_13120	-5.30E-01
CNAG_02066	6.93E-01
CNAG_03575	2.17E-01
CNAG_01054	-1.64E-01
CNAG_01873	3.21E+00
CNAG_00533	-2.87E-01
CNAG_13005	2.40E+00
CNAG_04446	7.20E-01
CNAG_12150	1.67E+00
CNAG_03054	8.10E-01
CNAG_02898	-6.24E-01
CNAG_07520	6.09E-01
CNAG_12817	-6.20E-01
CNAG_07824	3.69E-01
CNAG_02458	5.14E-01
CNAG_03871	-3.91E-01
CNAG_03906	-2.76E-01
CNAG_12094	5.90E-01
CNAG_07930	5.71E-01
CNAG_06508	7.40E-01
CNAG_06901	1.37E+00
CNAG_05200	-3.55E-01
CNAG_00981	-8.47E-01
CNAG_07310	-5.00E-01
CNAG_07668	4.34E-01
CNAG_00627	1.11E+00
CNAG_00527	-2.14E-01
CNAG_01234	-3.45E-01
CNAG_07319	-6.00E-01
CNAG_12700	-8.79E-01
CNAG_00434	-5.66E-01
CNAG_09002	3.32E+00
CNAG_04016	1.24E+00
CNAG_12785	2.38E+00
CNAG_04742	6.01E-01
CNAG_01628	-4.31E-01
CNAG_01970	-2.92E-01
CNAG_12702	7.15E-01
CNAG_03981	4.61E-01
CNAG_02399	-1.95E-01
CNAG_03544	-2.52E-01
CNAG_02488	4.23E-01
CNAG_06251	6.38E-01
CNAG_02444	-5.64E-01
CNAG_00866	-9.58E-01
CNAG_01552	3.04E-01
CNAG_00991	-3.88E-01
CNAG_00967	2.06E-01
CNAG_12766	3.08E+00
CNAG_03262	2.23E-01
CNAG_02333	3.95E-01
CNAG_05679	-5.04E-01
CNAG_13181	-4.64E-01
CNAG_01183	5.14E-01
CNAG_02467	-3.61E-01
CNAG_01526	4.83E-01
CNAG_03692	1.20E+00
CNAG_02483	6.85E-01
CNAG_03184	3.93E-01
CNAG_03242	1.02E+00
CNAG_00285	-2.41E-01
CNAG_05179	-1.98E-01
CNAG_00727	-3.24E-01
CNAG_04670	-1.98E-01
CNAG_03504	2.87E-01
CNAG_09000	3.88E+00
CNAG_02512	8.31E-01
CNAG_04478	4.55E-01
CNAG_07925	-2.43E-01
CNAG_03006	4.94E-01
CNAG_01590	-3.34E-01
CNAG_02210	-2.92E-01
CNAG_04760	1.06E+00
CNAG_04082	-3.20E-01
CNAG_07977	-3.91E-01
CNAG_12167	-2.96E-01
CNAG_03676	-5.15E-01
CNAG_12187	-6.25E-01
CNAG_06785	3.85E-01
CNAG_00649	-3.42E-01
CNAG_00486	-2.05E-01
CNAG_01621	-1.27E+00
CNAG_01597	-2.12E-01
CNAG_04414	3.88E-01
CNAG_09012	4.49E+00
CNAG_12658	6.22E-01
CNAG_04606	1.64E+00
CNAG_12711	2.52E+00
CNAG_00503	1.05E+00
CNAG_06846	-6.15E-01
CNAG_12632	8.85E-01
CNAG_03422	2.10E-01
